Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
33.9,35.2,2.8,20.8,3.8
32.4,43.6,2.3,13.3,5.4
27.6,30.8,25.5,14.7,0
78.9,11.6,9.6,0,0
51.9,19.6,3.4,16.7,6.8
38,27.6,3.7,20.1,9.9
53.6,13.4,30.9,0,0
25.3,12.1,32.3,22.2,5.1
27.7,36.2,2.7,26,6.1
49,17.5,4.1,17.6,8.1
53,28,2.1,8.3,6.8
66,16,15.8,0,0
52.7,12.6,32,0,0
48.7,8.3,19.4,19.6,2.1
31.2,47.4,5.8,12.7,0
39,46.6,7.9,4.4,0
79.3,6.9,13.8,0,0
77.9,8.9,5.1,0,0
72.7,17.1,8.4,0,0
30,60.8,9.2,0,0
22.5,44.5,6.4,22.1,0
21.9,61.7,3,13.4,0
32,7.4,33.9,21.4,0.4
67,16.9,13.3,0,0
44.7,17.9,4.6,23,8.5
41.7,27.8,3.6,18.8,7
29,25,1.4,22.4,6.7
36.4,29.3,20.2,8.5,0
52.6,37.8,6.6,0,0
36.1,41.8,11.5,7.8,0
55.5,19.7,21.2,0,0
51.3,33.5,7.7,4.6,0
54.8,31.4,7.2,4.2,0
34.53914767,11.27353816,18.83878427,11.83515031,2.312520648
47.5,14.7,34.7,1.5,0
43.2,26.5,4,15.7,8.6
53.5,18.1,3.8,16.2,7.5
43.4,18.8,4.2,24.4,8.5
24,55.4,1.6,8.2,8
39.9,30.3,17,10.8,0
53.5,34.7,5.1,4.3,0
69.5,13.5,4.6,0,0
32.1,35.6,3.5,17.3,9.5
44.4,24.5,3.3,18.3,7.3
51.5,28.6,10.9,6.1,0
60.9,9.6,11,12.7,3.5
74.7,7.6,7.2,0,0
53.3,26.3,9.8,9.1,0
28.4,24.4,2.3,19,15.4
42.7,35.1,11.5,7,0
56.9,34.1,5.9,0,0
39.2,33.9,14.4,7.8,0
39,43.4,9.3,6,0
60.6,22.5,9.5,0,0
29.6,50.8,2.5,9.3,4.9
23,47,5.5,18.4,0
38.8,6.6,31.7,16.7,2.9
26.2,48.1,2.2,10.9,8
49.7,39.2,4.3,4.1,0
45.7,40.5,2.2,7.8,0
44,38.8,9.4,5.5,0
40.2,22.8,4.2,21.9,9.9
80.2,10.7,2.2,0,0
57.7,20,22.3,0,0
39.3,11.7,24.8,14.5,4.1
49.6,18.6,31.8,0,0
61.4,19.7,15.3,0,0
26.3,29,2.4,22.4,9.3
42.9,44.5,5.8,3.2,0
53.9,23.5,12.5,0,0
73.8,11.1,13.5,0,0
49.3,25.5,22.4,0,0
25.7,28.2,1.2,19.2,7.9
0,0,0,0,0
47.6,20,3.7,13.1,13.1
28.8,53.4,2.6,8.7,3.2
29.3,36.9,19.6,11,0
39.6,14.5,42.2,1.7,0
63.2,14.7,18.6,0,0
42.3,40.4,9.4,5.2,0
46.2,8.5,15.4,19.2,5.4
37.8,28,4.2,21.7,7.3
70.3,19.7,10.1,0,0
60.1,21.4,14.8,0,0
26.4,16.6,13.4,27.9,4.5
45.5,11.4,18.2,19.3,3.4
63.3,8.8,26.8,0,0
37.9,23.8,24.3,9.2,0
54.8,14,7.7,20.3,0
53.4,14.5,3.3,20.1,7.2
25,7.4,45.1,17.6,1.4
17.3,11.4,18.6,47.5,3.7
47.3,25.1,1.6,16.4,6.8
54.5,12.5,13.5,14.6,2.4
71.7,15.1,5.4,0,0
35,23,9.7,25.6,5
44.3,6.5,23.6,20,2.7
34.8,38,16.9,8,0
54.5,27.7,2.5,9.3,4.4
51.7,19.6,2.3,16.1,9
54.1,21.4,24.4,0,0
76.9,11.8,4.3,0,0
44.3,28.4,3.7,14.8,7.3
46.1,23.9,18,7.8,0
78.2,8.7,8.9,0,0
47.8,9.5,19.7,18.3,1.9
60.4,8.2,11,15,2.1
30.1,9.1,29.4,19.6,4.2
50.2,21.5,28.3,0,0
51.4,21.5,27.1,0,0
52.1,17.3,2.8,15.2,10
36.7,25.6,4.9,26.8,5
29.6,18.7,0.6,29,14.2
50.4,32.5,8,6.2,0
27.6,32,2.8,26.4,9.3
42,23,3.6,16.8,10.2
27.5,53.4,2.4,9,4.8
67.4,18.7,7.5,0,0
39.8,14.8,6,30.8,7.6
56.6,12.9,28.8,0,0
57.6,11.7,9.9,10.6,6
34.49506454,14.16097191,16.53758542,9.392558846,3.933181473
49.6,10.1,38.4,0,0
54.3,10.7,14.7,15.2,2.5
46.8,19.7,31.4,0,0
42.1,25.4,3.6,16.6,8.5
41.2,26.2,2.5,15.2,12.8
32.1,12.2,25.1,22,4
51.1,12,20.3,9.8,3.8
40.1,31.9,3.1,15.4,5.5
33.6,18.5,7,34.9,5.2
68.8,14.5,8.3,0,0
38.7,20.9,25.5,12.3,0
27.6,26.8,0.5,23.8,9.5
51.6,35.2,4.6,4.7,0
57.4,11.3,13.5,12.6,2.9
51.1,18.7,2.5,19.9,4.3
29,45.1,1.7,12.4,6
40,8.6,35.7,12.9,1.4
49.3,21.8,2,13.4,10.8
40.2,27.1,18.5,8.8,0
45.7,43.4,8.6,0,0
28.6,8.8,43.2,15.9,2.6
49.9,21,3.2,14.7,7.9
47.7,38.7,6.4,4.3,0
43.2,32.9,3.4,11,8.2
70.8,7.6,7.8,0,0
43.5,36.1,11.2,6.8,0
44.2,36.3,11.2,5.4,0
33.5,38.2,9.8,17,0
34.8,53.3,5.9,4.2,0
39.9,23.1,3.2,25.4,8
71.9,16,4.3,0,0
25.7,42.2,2.5,13.9,13.5
55,17.6,6.2,18,0
63.5,17.6,18.9,0,0
41.8,37,4.3,12.4,0
59.6,28,7.1,3.1,0
53.8,21.3,3.1,14.4,5.3
78.1,9.3,8.2,0,0
47.1,25,15,7.9,0
37.3,24.1,5.7,18.5,6.2
38.4,7.4,25.2,19.9,4.2
61.4,21.1,14.9,0,0
26.4,34.5,3.9,28.5,5.5
41.4,33.8,12.2,7.4,0
59.5,32.7,5,0,0
36.5,33.2,12.5,15.7,0
46.1,38.6,6.5,4.3,0
48.9,19.1,3.4,24.6,3.6
40.8,11.5,43.7,2.1,0
63.5,17.7,18.8,0,0
76.3,10.5,9.6,0,0
46.2,43.6,6.1,0,0
50.2,19.3,2.7,17.5,8.9
26.7,20.6,9.9,35.2,5.6
36.3,27.8,0.5,15.8,10.1
49.4,37.8,5.8,4.1,0
33.1,21.4,7.8,29.5,7
46.1,8.6,14.8,22.7,3.9
69.9,12.7,17.4,0,0
47.6,20.7,3.1,12.5,12.2
40.7,33.1,1.8,16.3,5.8
50.6,20.5,4.3,22.1,0
51.7,18.5,4.3,16.5,6.6
28.5,28.4,3,14.5,15.1
48.1,36.6,7.3,4.7,0
62.8,31.1,3.7,0,0
57.9,23.2,6.9,9.5,0
37.5,41.4,11.8,7.2,0
46.4,38.3,7.6,4.7,0
48.1,34.7,8,6.5,0
67.6,17.1,7,0,0
56.6,18.1,25.3,0,0
57.1,17.1,3.5,13.9,6.3
28.9,48.8,2.5,10.3,6
80.8,9.7,4.8,0,0
42,23.9,4.3,21.1,6.8
29.4,35.2,1.3,12.9,7.9
0,0,0,0,0
67.1,19.1,11.7,0,0
44.9,34.1,6.4,10.6,0
48.3,21.1,2.4,13.6,10
36.8,32.4,3.1,20.3,4.9
40.4,15.7,40.3,2.3,0
33.6,36.8,2.1,20.9,4.1
44.7,40.8,7.2,5.1,0
26.2,34.4,4.1,28.2,5.7
50.9,20.2,1.5,13.7,10.5
60.9,11.2,25.5,0,0
30.7,26.9,1.8,19.9,6.9
43.6,37.1,10.3,6.5,0
49.2,39.9,7.2,0,0
53.4,25.3,7.3,12.2,0
52,10.6,11.7,17.9,4.5
29.6,28.3,26.3,10.1,0
45,38.4,7.6,5.8,0
54.5,15.5,30,0,0
43.3,13.5,38,2.8,0
65.8,21.1,11,0,0
54.1,25.4,13.1,5.4,0
39.7,33.5,1.6,14,7
31,21.2,7.6,34.6,4.6
49.8,29.3,6.9,0,0
20.4,47.1,2,16.3,5.2
53.1,21.5,3.4,12.7,5.9
